ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 11-06-2025; Hora: 09:03:22
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 11-06-2025; Hora: 09:03:30
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 09:03:37
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 09:06:53
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 09:13:20
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 09:36:41
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 09:41:08
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 11-06-2025; Hora: 09:46:27
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 09:50:45
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 10:11:27
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 10:14:11
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 10:19:52
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 10:20:20
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 10:36:19
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 10:41:14
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:03:41
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 11-06-2025; Hora: 11:04:49
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:04:52
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:13:12
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:29:34
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:37:19
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:37:57
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:39:29
15 - Andres; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 11-06-2025; Hora: 11:41:46
